Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection,Syntax_Hugo,Relatedness_Hugo,Syntax_Rui,Relatedness_Rui,Avg_Syntax,Avg_Relatedness
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","cão que levou maior de cobra tem medo de salsicha.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,2,3,2,2,2,2.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","para São João maior o velho o melhor tição.
",Comp_Vec,TFIDFVectorizer,BERT,2,3,2,1,2,2
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","o último a económico é o que ri maior.
",Comp_Vec,BERT,TFIDFVectorizer,1,2,1,3,1,2.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","chuva miúda e neve económica, são maior alimento de terra lavrada.
",Comp_Vec,BERT,BERT,3,4,2,4,2.5,4
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","A Maior Festa do Mundo
",-,-,TFIDFVectorizer,3,4,3,2,3,3
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","o homem mais independente é, ainda, escravo do ar que respira.
",-,-,BERT,3,5,3,5,3,5
,,,,,,,,,,
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","Portugal Terra - A combustível em Portugal
",Substitution,TFIDFVectorizer,TFIDFVectorizer,2,4,3,3,2.5,3.5
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","em Outubro manda o boi para o combustível e o barco para o muro.
",Substitution,TFIDFVectorizer,BERT,2,3,2,3,2,3
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","em boca global não entra mosquito.
",Substitution,BERT,TFIDFVectorizer,3,1,3,3,3,2
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","em Outubro manda o boi para o combustível e o barco para o muro.
",Substitution,BERT,BERT,2,3,2,3,2,3
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","O Homem que Viveu na Minha Casa
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,2,3,1,3,1.5
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","quem dorme com criança dobra molhado.
",Analogy,TFIDFVectorizer,BERT,2,1,2,3,2,2
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","não peças a quem aumentou, nem sirvas a quem cresceu.
",Analogy,BERT,TFIDFVectorizer,3,2,3,4,3,3
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","pela farinha se reveles o moleiro.
",Analogy,BERT,BERT,1,3,1,3,1,3
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","potencial romaria aumentes, quem em casa fica em paz.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,1,2,1,2,1,2
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","em casa bem potencial, ao meio-dia a olha, à noite a salada.
",Comp_Vec,TFIDFVectorizer,BERT,2,2,2,1,2,1.5
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","em boca potencial não entra mosquito.
",Comp_Vec,BERT,TFIDFVectorizer,3,2,3,1,3,1.5
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","a Arca de Noé aumentou potencial por amadores; os profissionais construíram o Titanic.
",Comp_Vec,BERT,BERT,2,2,2,4,2,3
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","Portugal Terra - A natureza em Portugal
",-,-,TFIDFVectorizer,3,3,3,3,3,3
"em 2017 o potencial de aquecimento global aumentou 69 em portugal
","mais vale uma vista do dono, que cem brados do abegão.
",-,-,BERT,3,2,3,1,3,1.5
,,,,,,,,,,
"como substituir o plástico descartável solução é reutilizar diz zero
","a solução é como as cerejas.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,4,3,4
"como substituir o plástico descartável solução é reutilizar diz zero
","a solução, assim como a cólera, é muito má conselheira.
",Substitution,TFIDFVectorizer,BERT,3,4,3,3,3,3.5
"como substituir o plástico descartável solução é reutilizar diz zero
","a solução é como as cerejas.
",Substitution,BERT,TFIDFVectorizer,3,4,3,4,3,4
"como substituir o plástico descartável solução é reutilizar diz zero
","a solução é para o coração, o que a prevenção é para o espírito.
",Substitution,BERT,BERT,3,5,3,5,3,5
-,-,Analogy,TFIDFVectorizer,TFIDFVectorizer,,,-,-,--,--
-,-,Analogy,TFIDFVectorizer,BERT,,,-,-,--,--
-,-,Analogy,BERT,TFIDFVectorizer,,,-,-,--,--
-,-,Analogy,BERT,BERT,,,-,-,--,--
"como substituir o plástico descartável solução é reutilizar diz zero
","zero argúcias a solução da boa causa.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,2,2,2,2,2,2
"como substituir o plástico descartável solução é reutilizar diz zero
","boa é a solução, bom é o sável, bom é o zero - quando da sazão.
",Comp_Vec,TFIDFVectorizer,BERT,3,3,2,5,2.5,4
"como substituir o plástico descartável solução é reutilizar diz zero
","diz o tacho para a solução -- sai daqui, não me enferretes.
",Comp_Vec,BERT,TFIDFVectorizer,3,3,3,3,3,3
"como substituir o plástico descartável solução é reutilizar diz zero
","a solução é para o coração, o que a zero é para o espírito.
",Comp_Vec,BERT,BERT,3,5,2,2,2.5,3.5
"como substituir o plástico descartável solução é reutilizar diz zero
","A Invasão do Plástico
",-,-,TFIDFVectorizer,3,5,3,5,3,5
"como substituir o plástico descartável solução é reutilizar diz zero
","a cabeça não se fez só para usar chapéu.
",-,-,BERT,3,3,3,1,3,2
,,,,,,,,,,
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ignora as causas, quem se chega dos efeitos.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,3,2,2,2.5,2.5
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"senhoria de Itália, Dom de Espanha - não valem uma doença.
",Substitution,TFIDFVectorizer,BERT,3,4,3,4,3,4
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"chega um conselho, pede-o ao velho.
",Substitution,BERT,TFIDFVectorizer,3,3,3,3,3,3
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"há analistas em que o coração vê melhor que os olhos.
",Substitution,BERT,BERT,3,4,3,4,3,4
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ignora as causas, quem se avalia dos efeitos.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,2,3,2,2,2,2.5
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"se dize ver o pobre soberbo, dá-lhe a chave do palheiro.
",Analogy,TFIDFVectorizer,BERT,2,1,2,1,2,1
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"à boca da barra, se aches o navio.
",Analogy,BERT,TFIDFVectorizer,2,2,1,1,1.5,1.5
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",Analogy,BERT,BERT,3,3,3,3,3,3
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em Abril, carrega a sobrevivente o carro e o carril.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,2,3,4,3,3
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em Abril, carrega a sobrevivente o carro e o carril.
",Comp_Vec,TFIDFVectorizer,BERT,3,2,3,4,3,3
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em boca sobrevivente, as moscas não avaliam entrada.
",Comp_Vec,BERT,TFIDFVectorizer,3,2,3,5,3,3.5
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé avaliou sobrevivente por amadores; os profissionais construíram o Titanic.
",Comp_Vec,BERT,BERT,3,3,1,2,2,2.5
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Teste o Seu Cérebro
",-,-,TFIDFVectorizer,3,5,3,4,3,4.5
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT,3,3,3,3,3,3
,,,,,,,,,,
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,2,3,2,3,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",Substitution,TFIDFVectorizer,BERT,3,2,3,2,3,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"a melhor decisão é o ataque.
",Substitution,BERT,TFIDFVectorizer,3,3,3,4,3,3.5
UEFA mantém designação do Europeu 2020 e explica a decisão,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",Substitution,BERT,BERT,3,1,3,1,3,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"Smashed - Decisão Dura
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,3,4,3,3.5
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Ternura de Al Jarreau
",Analogy,TFIDFVectorizer,BERT,3,1,3,1,3,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"mal por mal, antes na designação do que no hospital.
",Analogy,BERT,TFIDFVectorizer,3,5,3,4,3,4.5
UEFA mantém designação do Europeu 2020 e explica a decisão,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",Analogy,BERT,BERT,3,1,3,1,3,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"Smashed - Decisão Dura
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,3,4,3,3.5
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Culpa mantém do Macaco
",Comp_Vec,TFIDFVectorizer,BERT,2,2,2,2,2,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama mantém sempre mais verde do lado do vizinho.
",Comp_Vec,BERT,TFIDFVectorizer,3,2,2,1,2.5,1.5
UEFA mantém designação do Europeu 2020 e explica a decisão,"as designações sempre estão nos extremos, quando não tremem, ameaçam.
",Comp_Vec,BERT,BERT,3,3,3,4,3,3.5
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",-,-,TFIDFVectorizer,3,2,3,2,3,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",-,-,BERT,3,1,3,1,3,1
,,,,,,,,,,
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,5,3,4.5
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Substitution,TFIDFVectorizer,BERT,3,4,3,5,3,4.5
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"à boca da barra, se perde o futebol.
",Substitution,BERT,TFIDFVectorizer,3,4,3,5,3,4.5
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o homem honrado não se autoriza com as deslocações do patife.
",Substitution,BERT,BERT,3,1,3,3,3,2
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,3,5,3,4.5
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Analogy,TFIDFVectorizer,BERT,3,4,3,5,3,4.5
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"da noz, o sindicato é bom amigo.
",Analogy,BERT,TFIDFVectorizer,3,2,3,3,3,2.5
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",Analogy,BERT,BERT,3,1,3,1,3,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Batman v Super-Homem: O Despertar da Justiça
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,1,3,1,3,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Batman v Super-Homem: O Despertar da Justiça
",Comp_Vec,TFIDFVectorizer,BERT,3,1,3,1,3,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não exige só para usar sindicato.
",Comp_Vec,BERT,TFIDFVectorizer,2,2,2,4,2,3
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"os homens não se exigem aos sindicatos.
",Comp_Vec,BERT,BERT,3,2,3,4,3,3
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Gala Internacional de Futebol
",-,-,TFIDFVectorizer,3,2,3,4,3,3
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",-,-,BERT,3,1,3,1,3,1
,,,,,,,,,,
Finge ter Covid-19 no Facebook e acaba detido,"setembro detido, figo estragado.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,2,3,5,3,3.5
Finge ter Covid-19 no Facebook e acaba detido,"onde a detenção há semeado, faz o arrependimento a colheita.
",Substitution,TFIDFVectorizer,BERT,3,3,2,4,2.5,3.5
Finge ter Covid-19 no Facebook e acaba detido,"a amenidade no detido, anuncia a bondade do coração.
",Substitution,BERT,TFIDFVectorizer,3,3,3,3,3,3
Finge ter Covid-19 no Facebook e acaba detido,"antes a minha face com fome amarela, que detenção nela.
",Substitution,BERT,BERT,3,4,2,2,2.5,3
Finge ter Covid-19 no Facebook e acaba detido,"Como o Facebook Mudou o Mundo Árabe
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,2,3,2,3,2
Finge ter Covid-19 no Facebook e acaba detido,"ninguém é mais fácil de seduzir, que aquele que não engana ninguém.
",Analogy,TFIDFVectorizer,BERT,3,4,3,2,3,3
Finge ter Covid-19 no Facebook e acaba detido,"finge melhor quem finge por último.
",Analogy,BERT,TFIDFVectorizer,3,4,3,4,3,4
Finge ter Covid-19 no Facebook e acaba detido,"quem não tem esforço, foge mais que o corço.
",Analogy,BERT,BERT,3,2,3,2,3,2
Finge ter Covid-19 no Facebook e acaba detido,"pregar no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,2,2,4,2.5,3
Finge ter Covid-19 no Facebook e acaba detido,"pregar no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer,BERT,3,2,2,4,2.5,3
Finge ter Covid-19 no Facebook e acaba detido,"cada um detém do que finge.
",Comp_Vec,BERT,TFIDFVectorizer,2,2,2,5,2,3.5
Finge ter Covid-19 no Facebook e acaba detido,"as multidões sempre detêm nos extremos, quando não tremem, ameaçam.
",Comp_Vec,BERT,BERT,3,1,3,4,3,2.5
Finge ter Covid-19 no Facebook e acaba detido,"Como o Facebook Mudou o Mundo Árabe
",-,-,TFIDFVectorizer,3,2,3,2,3,2
Finge ter Covid-19 no Facebook e acaba detido,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",-,-,BERT,3,1,3,1,3,1
,,,,,,,,,,
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"quem mais mete na carta, mais saca.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,5,3,4.5
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"não vá o escritor tecê-las.
",Substitution,TFIDFVectorizer,BERT,3,4,3,3,3,3.5
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"festa acabada, sócios a pé.
",Substitution,BERT,TFIDFVectorizer,3,4,3,4,3,4
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"boa fama escreve quem não diz mal da vida alheia.
",Substitution,BERT,BERT,3,3,3,2,3,2.5
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a costa e a sardinha, querem-se da mais pequenina.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,2,3,2,3,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"não há mais bronze, que anos onze.
",Analogy,TFIDFVectorizer,BERT,3,3,2,3,2.5,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"costa com halo de grande aparato, É molha certa prá gente de quarto.
",Analogy,BERT,TFIDFVectorizer,3,3,3,2,3,2.5
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Próximo Convidado Dispensa Apresentações com David Letterman
",Analogy,BERT,BERT,3,1,3,1,3,1
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Sem Anos de Solidão
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,2,2,3,2.5,2.5
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"não há mais sócio, que anos onze.
",Comp_Vec,TFIDFVectorizer,BERT,3,2,1,2,2,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"em costa de sócios, de cócoras como eles.
",Comp_Vec,BERT,TFIDFVectorizer,3,2,2,4,2.5,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"cão que levou mordida de cobra tem medo de sócia.
",Comp_Vec,BERT,BERT,3,2,3,4,3,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Um Pinto na Selva
",-,-,TFIDFVectorizer,3,4,3,5,3,4.5
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Próximo Convidado Dispensa Apresentações com David Letterman
",-,-,BERT,3,1,3,1,3,1
,,,,,,,,,,
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"Os alunos do rio
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,2,3,2,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez reis na educadora.
",Substitution,TFIDFVectorizer,BERT,3,4,3,5,3,4.5
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"é de pequenino que se torce o nível.
",Substitution,BERT,TFIDFVectorizer,3,4,3,4,3,4
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a Arca de Noé foi transmitida por amadores; os profissionais construíram o Titanic.
",Substitution,BERT,BERT,3,3,3,5,3,4
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a verdade na arte é apenas a sinceridade das impressões do artista.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,2,3,3,3,2.5
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez recordes na algibeira.
",Analogy,TFIDFVectorizer,BERT,3,3,3,2,3,2.5
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na noite involta, tv o tvdor.
",Analogy,BERT,TFIDFVectorizer,1,2,1,2,1,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a ambição, assim como a transmissão, é muito má conselheira.
",Analogy,BERT,BERT,3,5,3,3,3,4
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv na arte é apenas a turma das impressões do artista.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,2,4,2.5,3.5
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez reis na turma.
",Comp_Vec,TFIDFVectorizer,BERT,3,3,3,3,3,3
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na tv involta, pesca o pescador.
",Comp_Vec,BERT,TFIDFVectorizer,3,2,3,4,3,3
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a água salobra, na turma tv, é doce.
",Comp_Vec,BERT,BERT,3,2,1,2,2,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"A TV é Tua
",-,-,TFIDFVectorizer,3,4,3,3,3,3.5
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT,3,3,3,2,3,2.5
,,,,,,,,,,
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Chamadas para a Quarentena
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,4,3,4
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"os frutos não cantam longe da árvore.
",Substitution,TFIDFVectorizer,BERT,3,3,3,4,3,3.5
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"para o bom obreiro não há má família.
",Substitution,BERT,TFIDFVectorizer,3,4,3,4,3,4
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao menino e ao borracho põe-lhes Deus a mão por baixo.
",Substitution,BERT,BERT,3,3,3,3,3,3
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a aversão é para o coração, o que a sobrinha é para o espírito.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,3,2,3,3
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"há ocasiões em que o sobrinhinho vê melhor que os olhos.
",Analogy,TFIDFVectorizer,BERT,3,3,3,3,3,3
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Os Malefícios do Tabaco
",Analogy,BERT,TFIDFVectorizer,3,2,3,1,3,1.5
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao sobrinhinho e ao borracho põe-lhes Deus a mão por baixo.
",Analogy,BERT,BERT,3,5,3,2,3,3.5
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha é para o coração, o que a prevenção é para o espírito.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,3,5,3,4.5
