News Title,Proverb,Similarity level
"Médicos fazem exames desportivos à pressão e a troco de 2,3 euros por consulta
","depois de fartos, não faltam pratos.
",0.66118675
"Auriol Dongmo fixa novo recorde de Portugal no peso feminino
","volta direita, vem satisfeita. Volta de cão traz furacão.
",0.62321067
"Paulo Conceição com novo recorde de Portugal no salto em altura
","fica tudo como dantes, quartel-general em Abrantes.
",0.79614514
"Kobe Bryant: Eternidade chegou depressa de mais a quem nasceu para se tornar uma lenda
","por uma besta dar um coice não se lhe corta uma perna.
",0.81230843
"As fotografias da vida em Fukushima — nove anos depois do desastre nuclear
","dinheiro não nasce nas árvores.
",0.73883843
"Missão Paralímpica Tóquio2020 prepara atletas para participação ao mais alto nível
","mais vale uma palavra antes que duas depois.
",0.6244422
"Portugal vence Bélgica e aproxima-se da manutenção no ‘Championship’ de râguebi
","não se fala de corda em casa de enforcado.
",0.7487377
"Choque mundial do coronavírus. Bolsas perdem 1% em janeiro e juros da dívida em queda
","em Julho fazer vasculho.
",0.8015356
"Investimento em fundos sustentáveis dispara
","em boca fechada não entra mosquito.
",0.6742655
"Países “não estão preparados” para crises de saúde pública
","quem ovos vende e galinhas não tem, de algum lado eles vêm.
",0.7204151
"Corona vírus: Uma infeção que constipa as economias
","tanta chuva pelas Candeias, tantas abelhas para as colmeias.
",0.6707421
"Mundo fecha as portas a viajantes da China com receio do coronavírus
","em boca fechada, as moscas não têm entrada.
",0.71288484
Todos no planeta (afinal) temos um pouco de neandertal,"mais vale um sim tardio, que um não vazio.
",0.826784
