Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
UEFA mantém designação do Europeu 2020 e explica a decisão,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"água do rio exige para o mar.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Um Marco no Futebol
",Substitution,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não serve só para usar futebol.
",Substitution,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"ninguém requeira as faltas alheias com o dedo sujo.
",Substitution,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Gala Internacional de Futebol
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Cenas do Próximo Capítulo
",Analogy,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"à boca da barra, se perde o sindicato.
",Analogy,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"à boca da barra, se perde o sindicato.
",Analogy,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"água do sindicato exige para o mar.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"para baixo todos os santos exige, para cima é que as coisas mudam.
",Comp_Vec,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não exige só para usar sindicato.
",Comp_Vec,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o hábito exige uma segunda Natureza.
",Comp_Vec,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Gala Internacional de Futebol
",-,-,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge no deserto, é sermão perdido.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"O Que Arde Cura
",Substitution,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge melhor quem finge por último.
",Substitution,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"o passa não ocupa lugar!.
",Substitution,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"a minha liberdade acaba onde finge a liberdade dos outros.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"por mais santo que seja o dia, a panela tem que finge.
",Analogy,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"se um trovão seco no céu reboa, temporal violento nos finge.
",Analogy,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"quando um cai, todos o finge.
",Analogy,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge no deserto, é sermão detê.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"detê posto ledo, com claro ao norte, andar sem medo que estás com sorte.
",Comp_Vec,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"lua com circo detê água no bico.
",Comp_Vec,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"na morte e na detê verás quem te honra.
",Comp_Vec,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"Porque Um Dia Acaba
",-,-,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"mais vale uma vista do dono, que cem brados do abegão.
",-,-,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Os sócios do rio
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Pai Natal Chega Sempre
",Substitution,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a boca do ambicioso só se fecha com terra de carta.
",Substitution,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Gente da Minha Terra - Europa
",Substitution,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"mais vale agradecer com a verdade, que soa com a costa.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Jardineiro que Não Tinha Projectos
",Analogy,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"A Noite Mais Longa
",Analogy,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"As costas da grande coisa
",Analogy,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"mais vale agradecer com a verdade, que ofender com a sócia.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"onde há sócio há fogo.
",Comp_Vec,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Voar da costa dos sócios
",Comp_Vec,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"ir à sócia e ser tosquiado.
",Comp_Vec,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Um Pinto na Selva
",-,-,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"cão que levou mordida de cobra tem medo de salsicha.
",-,-,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez professores na algibeira.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"Baseado Numa História Verídica
",Substitution,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"nível é o que nível vale.
",Substitution,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"se saem a ser rico, não te esqueças de que foste pobre.
",Substitution,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a verdade na arte é apenas a tv das televisões do artista.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que seis globos na tv.
",Analogy,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale ter tv do que ser entvdo.
",Analogy,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"manhã de névoa, tarde de tv.
",Analogy,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv na arte é apenas a turma das impressões do artista.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a turma na arte é apenas a tv das impressões do artista.
",Comp_Vec,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na tv involta, pesca o pescador.
",Comp_Vec,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na tv involta, pesca o pescador.
",Comp_Vec,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"A TV é Tua
",-,-,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"na família está o perigo.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"O Segredo Bem Guardado
",Substitution,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"se entra por terra a família, é que o temporal a enxota.
",Substitution,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"o tio é o pior de esfolar.
",Substitution,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"na sobrinha está o avô.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"O Tempo e Dez Mulheres
",Analogy,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a cabeça não se fez só para usar sobrinhinho.
",Analogy,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"sobrinhinhos de amor, sobrinhinhos de um dia.
",Analogy,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"na sobrinha, é que está a segurança.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Uma Aventura do Outro Mundo
",Comp_Vec,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha não se fez só para usar parabém.
",Comp_Vec,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao parabém dia ou carrega ou alivia.
",Comp_Vec,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Chamadas para a Quarentena
",-,-,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao menino e ao borracho põe-lhes Deus a mão por baixo.
",-,-,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há esperança há esperança.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","O Casamento do Robot
",Substitution,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Para O Melhor Ou Para O Pior
",Substitution,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","quem não quer ser lobo não lhe vista a criatura.
",Substitution,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Pronta Para a Luta
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Carvão Negro, Gelo Fino
",Analogy,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mágicas palavras e maus feitos, enganam sisudos e néscios.
",Analogy,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","quem em novo tia bem, em mágico algum geito tem.
",Analogy,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Pronta Para a Luta
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Pequenas Mentiras Entre Amigos
",Comp_Vec,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","nuvens espessas e mágicas, incertezas certas e continuadas.
",Comp_Vec,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","lugar mágico, lugar sem repouso.
",Comp_Vec,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há vida há esperança.
",-,-,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mas se está claro, cheio de luz, haja alegria, que o tempo é de truz.
",-,-,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","o homem não é infeliz enquanto não é excluído.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","não é vilão o da vila, senão o que faz reestruturação.
",Substitution,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem morrer novo.
",Substitution,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","enganaste-me uma operadora, nunca mais me enganarás.
",Substitution,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Ser ou Não Ser
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem faz o que pode a mais não é exclua.
",Analogy,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem exclua novo.
",Analogy,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","sê excluído de saber, e exclua sábio.
",Analogy,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","o auxílio não exclua infeliz enquanto não exclua injusto.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Eu Não Sou a Tua Princesa
",Comp_Vec,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem se não exclua de auxílios, não é honrado.
",Comp_Vec,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","de sábio e de auxílio todos exclua um pouco.
",Comp_Vec,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Ser ou Não Ser
",-,-,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","respeitai os bens dos outros, se quereis possuir os vossos tranquilamente.
",-,-,BERT
UA estão a apontar para o pior número de desemprego da sua história,"a história é o pior de todos os males.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"De Mal a Pior
",Substitution,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"a história da lei não desculpa a ninguém.
",Substitution,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"a época não se põe na mesa, mas eu não como no chão.
",Substitution,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"o rabo é o pior de aponta.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"Isto aponta Para a Televisão?
",Analogy,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"aponta e compadecer-se, é todo o segredo da bondade.
",Analogy,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não começa para amanhã o que podes aponta hoje.
",Analogy,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"É Preciso Ter Calma
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"É Preciso Ter Calma
",Comp_Vec,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"saco pior não se aponta de pé.
",Comp_Vec,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"saco pior não se aponta de pé.
",Comp_Vec,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"Para O Melhor Ou Para O Pior
",-,-,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não vendas a pele do urso antes de o matar.
",-,-,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","as cortes e os amores, os primeiros são os melhores.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","São Francisco - Estados Unidos
",Substitution,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os amigos são para as cortes.
",Substitution,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os vivos são sempre e cada portuguesa mais governados pelos mais vivos.
",Substitution,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são sempre os primeiros.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano expiatório.
",Analogy,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","julgam os namorados que todos têm os olhos expiatórios.
",Analogy,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","com complacências expiatórias não se brinca.
",Analogy,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","o homem mais independente é, ainda, escravo do bode que respira.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","Estrada Nacional Número Seis
",Comp_Vec,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","de couves expiatórias, mulheres nuas e lautas ceias estão as sepulturas cheias.
",Comp_Vec,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","de couves expiatórias, mulheres nuas e lautas ceias estão as sepulturas cheias.
",Comp_Vec,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","Sobre Tudo Sobre Nada
",-,-,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes.
",-,-,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"As Linhas de Torres
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"A Arte da Paixão
",Substitution,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"há mais bancos que marinheiros.
",Substitution,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"muito se engana quem pensa.
",Substitution,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"vinho, azeite e amigos, os mais definidos.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o definido tem por sua a orientação dos seus.
",Analogy,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as definidas noticias chegam depressa.
",Analogy,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as definidas noticias chegam depressa.
",Analogy,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o definido tem por sua a honra dos seus.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o definido tem por sua a honra dos seus.
",Comp_Vec,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"nada há tão definido, como o crédito.
",Comp_Vec,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"nada há tão definido, como o crédito.
",Comp_Vec,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"As Linhas de Torres
",-,-,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Substitution,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"fim morto, fim posto.
",Substitution,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Lisboa e as Margens do Tejo
",Substitution,BERT,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"sol de Janeiro dá que fazer ao calor.
",Analogy,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"biscoito de temperatura, fanga de calor.
",Analogy,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Era o Vento... e o Mar
",Analogy,BERT,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"A Canção do Mar
",Comp_Vec,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"Vaticano: O calor oculto do Estado mais pequeno do mundo
",Comp_Vec,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Amor em Tempo de Guerra
",Comp_Vec,BERT,BERT
Sol e calor após o fim do estado de emergência,"O Estado da Nação
",-,-,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Vaticano: O rosto oculto do Estado mais pequeno do mundo
",-,-,BERT
Governo decide futuro das competições de futebol,"Gala Internacional de Futebol
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Não Há Rosa sem Espinhos
",Substitution,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"competições de namorados, amores dobrados.
",Substitution,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"nem tudo que reluz é torneio.
",Substitution,BERT,BERT
Governo decide futuro das competições de futebol,"o futuro a Deus decida.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Quando o Mar Galgou a Terra
",Analogy,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"cada um decida de si, e Deus de todos.
",Analogy,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"decida é como mora sem borracha.
",Analogy,BERT,BERT
Governo decide futuro das competições de futebol,"O Douro nos Caminhos da Literatura: Trindade Coelho
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Alto Relevo: Canto ao Douro e ao Vinho
",Comp_Vec,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"de manhã é que decida o dia.
",Comp_Vec,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"O Amor decida um Sonho
",Comp_Vec,BERT,BERT
Governo decide futuro das competições de futebol,"Gala Internacional de Futebol
",-,-,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Bunker ou Contos que ouvi depois do mundo acabar
",-,-,BERT
Portugal sem casos de crianças com reação inflamatória rara,"não há rara sem senão.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"Música no Andar de Cima
",Substitution,TFIDFVectorizer,BERT
Portugal sem casos de crianças com reação inflamatória rara,"chuva miúda e neve rara, são bom alimento de terra lavrada.
",Substitution,BERT,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"Que tê das ruínas
",Substitution,BERT,BERT
Portugal sem casos de crianças com reação inflamatória rara,"não há inflamatória sem senão.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"Arte de Ser Português
",Analogy,TFIDFVectorizer,BERT
Portugal sem casos de crianças com reação inflamatória rara,"nuvens inflamatórias, sem ligação, bom tempo, brisas de feição.
",Analogy,BERT,TFIDFVectorizer
