Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",-,-,BERT
Finge ter Covid-19 no Facebook e acaba detido,"setembro detido, figo estragado.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"onde a detenção há semeado, faz o arrependimento a colheita.
",Substitution,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"a amenidade no detido, anuncia a bondade do coração.
",Substitution,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"antes a minha face com fome amarela, que detenção nela.
",Substitution,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"Como o Facebook Mudou o Mundo Árabe
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"ninguém é mais fácil de seduzir, que aquele que não engana ninguém.
",Analogy,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge melhor quem finge por último.
",Analogy,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"quem não tem esforço, foge mais que o corço.
",Analogy,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"pregar no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"pregar no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"cada um detém do que finge.
",Comp_Vec,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"as multidões sempre detêm nos extremos, quando não tremem, ameaçam.
",Comp_Vec,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"Como o Facebook Mudou o Mundo Árabe
",-,-,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",-,-,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"quem mais mete na carta, mais saca.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"não vá o escritor tecê-las.
",Substitution,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"festa acabada, sócios a pé.
",Substitution,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"boa fama escreve quem não diz mal da vida alheia.
",Substitution,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a costa e a sardinha, querem-se da mais pequenina.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"não há mais bronze, que anos onze.
",Analogy,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"costa com halo de grande aparato, É molha certa prá gente de quarto.
",Analogy,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Próximo Convidado Dispensa Apresentações com David Letterman
",Analogy,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Sem Anos de Solidão
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"não há mais sócio, que anos onze.
",Comp_Vec,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"em costa de sócios, de cócoras como eles.
",Comp_Vec,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"cão que levou mordida de cobra tem medo de sócia.
",Comp_Vec,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Um Pinto na Selva
",-,-,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Próximo Convidado Dispensa Apresentações com David Letterman
",-,-,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"Os alunos do rio
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez reis na educadora.
",Substitution,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"é de pequenino que se torce o nível.
",Substitution,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a Arca de Noé foi transmitida por amadores; os profissionais construíram o Titanic.
",Substitution,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a verdade na arte é apenas a sinceridade das impressões do artista.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez recordes na algibeira.
",Analogy,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na noite involta, tv o tvdor.
",Analogy,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a ambição, assim como a transmissão, é muito má conselheira.
",Analogy,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv na arte é apenas a turma das impressões do artista.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez reis na turma.
",Comp_Vec,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na tv involta, pesca o pescador.
",Comp_Vec,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a água salobra, na turma tv, é doce.
",Comp_Vec,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"A TV é Tua
",-,-,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Chamadas para a Quarentena
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"os frutos não cantam longe da árvore.
",Substitution,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"para o bom obreiro não há má família.
",Substitution,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao menino e ao borracho põe-lhes Deus a mão por baixo.
",Substitution,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a aversão é para o coração, o que a sobrinha é para o espírito.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"há ocasiões em que o sobrinhinho vê melhor que os olhos.
",Analogy,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Os Malefícios do Tabaco
",Analogy,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao sobrinhinho e ao borracho põe-lhes Deus a mão por baixo.
",Analogy,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha é para o coração, o que a prevenção é para o espírito.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha é para o coração, o que a prevenção é para o espírito.
",Comp_Vec,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha não se fez só para usar chapéu.
",Comp_Vec,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a Arca de Noé foi sobrinha por amadores; os profissionais construíram o Titanic.
",Comp_Vec,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Chamadas para a Quarentena
",-,-,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao menino e ao borracho põe-lhes Deus a mão por baixo.
",-,-,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há vida há tragédia.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há tragédias em que o coração vê melhor que os olhos.
",Substitution,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mas se está claro, cheio de luz, haja esperança, que o tempo é de truz.
",Substitution,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Hanna Montana e Miley Cyrus: O Melhor dos Dois Mundos, em Concerto
",Substitution,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","não há cabeças mais mágicas, que as cabeças vazias.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","não fales como doente, nem mores entre vil gente.
",Analogy,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há instrução demasiada, mas a educação é sempre pouca.
",Analogy,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Hanna Montana e Miley Cyrus: O Melhor dos Dois Mundos, em Concerto
",Analogy,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","não há incertezas mais mágicas, que as incertezas vazias.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incertezas em que o coração vê melhor que os olhos.
",Comp_Vec,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incerteza mágica, mas a educação é sempre pouca.
",Comp_Vec,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incerteza mágica, mas a educação é sempre pouca.
",Comp_Vec,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há vida há esperança.
",-,-,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Hanna Montana e Miley Cyrus: O Melhor dos Dois Mundos, em Concerto
",-,-,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Ser ou Não Ser
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","não se pescam nenhumas a bragas enxutas.
",Substitution,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","dos cheiros o pão e do sabor o ser.
",Substitution,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","respeitai os bens dos outros, se insiste possuir os vossos tranquilamente.
",Substitution,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem faz o que pode a mais não é obrigado.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem faz o que pode a mais não é obrigado.
",Analogy,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","mais vale burro vivo que sábio morto.
",Analogy,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","filha casada, pretendentes à porta.
",Analogy,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","a auxílio e a batizado, não vás sem ser convidado.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","o auxílio mais independente é, ainda, escravo do ar que respira.
",Comp_Vec,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem se não sente de auxílios, não é honrado.
",Comp_Vec,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","o auxílio honrado não se autoriza com as opiniões do patife.
",Comp_Vec,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Ser ou Não Ser
",-,-,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","respeitai os bens dos outros, se quereis possuir os vossos tranquilamente.
",-,-,BERT
UA estão a apontar para o pior número de desemprego da sua história,"Para O Melhor Ou Para O Pior
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"a ignorância é o pior de todos os esses.
",Substitution,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"a palavra é de sua e o silêncio é de ouro.
",Substitution,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não vendas a pele do esse antes de o matar.
",Substitution,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"E Viveram Felizes para Sempre
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"o ciúme nasce sempre com o amor; mas não morre sempre com ele.
",Analogy,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"não deixes para amanhã o que podes fazer hoje.
",Analogy,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não vendas a pele do urso antes de o matar.
",Analogy,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"o rabo é o pior de esfolar.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"Mata Nacional do Bussaco: Património Vivo, Natureza Mágica
",Comp_Vec,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"nuvens mal, altas e escuras são chuvas certas e seguras.
",Comp_Vec,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"nuvens mal, altas e escuras são chuvas certas e seguras.
",Comp_Vec,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"Para O Melhor Ou Para O Pior
",-,-,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"O Desaparecimento de Eleanor Rigby: Eles
",-,-,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","à noite todos os bodes são pardos.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","à portista todos os gatos são pardos.
",Substitution,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","são os namorados que todos têm os olhos fechados.
",Substitution,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","lisboa é praça de armas, Coimbra dos estudantes, Porto dos salários, Vila Real dos amantes.
",Substitution,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","Os Flintstones paródias sexual
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","Os Flintstones paródias sexual
",Analogy,TFIDFVectorizer,BERT
-,-,Analogy,BERT,TFIDFVectorizer
-,-,Analogy,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","as bodes e os amores, os primeiros são os melhores.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","janeiro geadeiro, Fevereiro rego expiatório, Março coreiro, Abril águas mil caibam todas num bode, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.
",Comp_Vec,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os vivos são sempre e cada bodes mais governados pelos mais vivos.
",Comp_Vec,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","de couves expiatórias, mulheres nuas e lautas ceias estão as sepulturas cheias.
",Comp_Vec,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os últimos são sempre os primeiros.
",-,-,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes.
",-,-,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"As Linhas de Torres
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as tatuagens nas costas são conhecidas daqueles que as acreditam.
",Substitution,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a verdade na arte é apenas a sinceridade das condições do artista.
",Substitution,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a Arca de Noé foi definida por amadores; os profissionais construíram o Titanic.
",Substitution,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"pede o guloso para o desejoso.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"pede o guloso para o definido.
",Analogy,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"A Fúria do Abominável Homem das Neves
",Analogy,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a Arca de Noé foi definida por amadores; os profissionais construíram o Titanic.
",Analogy,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"Rush - Duelo de Rivais
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"Praia - Cabo Verde
",Comp_Vec,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"de boas crédito o inferno está cheio.
",Comp_Vec,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a Arca de Noé foi definida por amadores; os profissionais construíram o Titanic.
",Comp_Vec,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"As Linhas de Torres
",-,-,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"O Bibliotecário: A Maldição do Cálice de Judas
",Substitution,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"A um fim de distância
",Substitution,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Vaticano: O rosto oculto do Estado mais pequeno do mundo
",Substitution,BERT,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"O Bibliotecário: A Maldição do Cálice de Judas
",Analogy,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"A um calor de distância
",Analogy,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Deus me dê paciência e um paninho para a embrulhar.
",Analogy,BERT,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"boa emergência após mau tempo, traz depressa chuva ou vento.
",Comp_Vec,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"A um calor de emergência
",Comp_Vec,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"a boca do ambicioso só se fecha com terra de emergência.
",Comp_Vec,BERT,BERT
Sol e calor após o fim do estado de emergência,"No Calor de Júlia
",-,-,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Vaticano: O rosto oculto do Estado mais pequeno do mundo
",-,-,BERT
Governo decide futuro das competições de futebol,"Gala Internacional de Futebol
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Olga Prats e os compositores basquetebol
",Substitution,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"futebol sarampelo sete vezes vem ao pêlo.
",Substitution,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Bunker ou Contos que consegui depois do mundo acabar
",Substitution,BERT,BERT
Governo decide futuro das competições de futebol,"Hell or High Water - Custe o Que Custar!
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Do Céu Já Não Caem Lágrimas
",Analogy,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"cada um sabe de si, e Deus de todos.
",Analogy,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Bunker ou Contos que ouvi depois do mundo acabar
",Analogy,BERT,BERT
Governo decide futuro das competições de futebol,"Zeitgeist: Moving Forward - O Futuro é Agora
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"O Douro nos Caminhos da Literatura: João de Araújo Correia
",Comp_Vec,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"A Floresta das Almas Perdidas
",Comp_Vec,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Deus decides direito por competições tortas.
",Comp_Vec,BERT,BERT
