Headline,Generated_Expression,Generation_Method,Final_Selection
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","memórias de um monumento
",Comp_Vec,BERT
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","prémio nacional de música
",-,TFIDFVectorizer
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","não vendas a pele do urso antes de o matar.
",-,BERT
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","uma mulher em lisboa
",Substitution,TFIDFVectorizer
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","o porto do pau
",Substitution,BERT
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","um homem com lisboa
",Analogy,TFIDFVectorizer
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","o jardim do outro belém
",Analogy,BERT
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","um homem com catana
",Comp_Vec,TFIDFVectorizer
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","março marçagão, pela catana, cara de anjo; à noite, cara de ladrão.
",Comp_Vec,BERT
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","uma aventura em lisboa
",-,TFIDFVectorizer
"Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa
","receia-se menos um bravo em cólera, que um cobarde que dissimula.
",-,BERT
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","a menina dos bancos
",Substitution,TFIDFVectorizer
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","embargos de amor, embargos de um dia.
",Substitution,BERT
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","petrolífero de um petróleo
",Analogy,TFIDFVectorizer
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","de boas intenções está o inferno petrolífero.
",Analogy,BERT
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","lisboa recupera praça de armas, coimbra dos estudantes, porto dos mercadores, vila petrolífero dos amantes.
",Comp_Vec,TFIDFVectorizer
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","lenha petrolífero pouco acende e quem muito dorme pouco recupera.
",Comp_Vec,BERT
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","a lei do mercado
",-,TFIDFVectorizer
"Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.
","de lautas ceias estão as sepulturas cheias.
",-,BERT
"Bancos preparam-se para dar menos crédito às famílias
","bancos, bancos, negócios à parte.
",Substitution,TFIDFVectorizer
"Bancos preparam-se para dar menos crédito às famílias
","roma e pavia não se dão num dia.
",Substitution,BERT
"Bancos preparam-se para dar menos crédito às famílias
","há crédito para tudo menos para a morte.
",Analogy,TFIDFVectorizer
"Bancos preparam-se para dar menos crédito às famílias
","a escolha do prazo
",Analogy,BERT
"Bancos preparam-se para dar menos crédito às famílias
","dar a crédito o que é de crédito e a banco o que é de banco.
",Comp_Vec,TFIDFVectorizer
"Bancos preparam-se para dar menos crédito às famílias
","outro crédito da morte
",Comp_Vec,BERT
"Bancos preparam-se para dar menos crédito às famílias
","há remédio para tudo menos para a morte.
",-,TFIDFVectorizer
"Bancos preparam-se para dar menos crédito às famílias
","do carvão aos resíduos: o regresso a são pedro da cova
",-,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","quando um burro fala, os outros recomendam as orelhas.
",Substitution,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","a alma e a militante
",Substitution,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","recomenda lá, toma cá
",Analogy,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","quem não recomenda, aponta.
",Analogy,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","casa onde não há pão, todos recomendam e ninguém critica razão.
",Comp_Vec,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","quem não critica, recomenda.
",Comp_Vec,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","toma lá, dá cá
",-,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","nuvens finas, sem ligação, bom tempo, brisas de feição.
",-,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","contra factos, não há dias.
",Substitution,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","ovelha que berra, mês que perde.
",Substitution,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","a pandemia e a cidade
",Analogy,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","casa de pandemia, ou morte ou avenida.
",Analogy,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","muitos dias decreta o mês
",Comp_Vec,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","nem todo o grão decreta ao olho do moinho.
",Comp_Vec,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","a casa e a cidade
",-,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","mulher que nas juras de homem se fia, chora de noite e de dia.
",-,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","os comedores de menores
",Substitution,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","nem tanto ao mar nem tanto à oliveira.
",Substitution,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","em tempo de braga, qualquer buraco é lisboa.
",Analogy,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","a vitela de uma braga
",Analogy,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","prescrita braga faz, quem em casa fica em paz.
",Comp_Vec,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","se o trabalho dá braga, que trabalhem os prescritos.
",Comp_Vec,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","braga é o penico do céu.
",-,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","de couves cruas, mulheres nuas e lautas ceias estão as sepulturas cheias.
",-,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","uma hora mais simples
",Substitution,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","filhos criados, trabalhos suspensos
",Substitution,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","a conversa é como as gotículas.
",Analogy,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","não te atrevas, ó poeira...
",Analogy,BERT
