1, Emissões, emissõe, n, O
8, em, em, prp, O
9, os, o, art, O
10, INAS, ino, N, B-ABSTRACCAO
11, Global, global, adj, I-ABSTRACCAO
12, Games, game, n, I-ABSTRACCAO

1, Xiaomi, xiaomi, N, O
2, MIUI, miui, N, O
3, 11, 11, num, B-VALOR
4, Global, global, adj, I-VALOR
5, começa, comer, v-fin, O
6, a, a, prp, O
7, chegar, chegar, v-inf, O
8, para, para, prp, B-TEMPO
9, a, o, art, I-TEMPO
10, semana, semana, n, I-TEMPO
11, a, a, prp, I-TEMPO
12, 14, 14, num, I-TEMPO
13, modelos, modelo, n, O
14, de, de, prp, O
15, smartphones, smartphones, prop, O

1, Suécia, suécia, prop, O
2, é, é, v-fin, O
3, a, o, art, O
4, campeã, campeã, n, O
5, em, em, prp, O
6, a, o, art, O
7, reputação, reputação, n, O
8, ., ., punc, O
9, Portugal, portugal, prop, B-LOCAL
10, fica, ficar, v-fin, O
11, em, em, prp, O
12, 16º, 16º, N, B-VALOR
13, lugar, lugar, n, O

1, Duas, dois, num, O
2, medalhas, medalha, n, O
3, de, de, prp, O
4, ouro, ouro, n, O
5, para, para, prp, O
6, Portugal, portugal, prop, B-LOCAL
7, em, em, prp, O
8, os, o, art, O
9, INAS, ino, N, B-ABSTRACCAO
10, Global, global, adj, I-ABSTRACCAO
11, Games, game, n, I-ABSTRACCAO

1, Suécia, suécia, prop, O
2, é, é, v-fin, O
3, a, o, art, O
4, campeã, campeã, n, O
5, em, em, prp, O
6, a, o, art, O
7, reputação, reputação, n, O
8, ., ., punc, O
9, Portugal, portugal, prop, B-LOCAL
10, fica, ficar, v-fin, O
11, em, em, prp, O
12, 16.º, 16.º, num, B-VALOR
13, lugar, lugar, n, O

1, “, “, N, O
2, O, o, art, O
3, desperdício, desperdício, n, O
4, zero, zero, num, O
5, se, se, pron-pers, O
6, torna-, tornar, v-fin, O
7, um, um, art, O
8, estilo, estilo, n, O
9, de, de, prp, O
10, vida, vida, n, O
11, quando, quando, adv, O
12, o, o, pron-pers, O
13, deixamos, deixar, v-fin, O
14, simplificar, simplificar, v-inf, O
15, o, o, art, O
16, nosso, nosso, pron-det, O
17, ela, ele, pron-pers, O
18, dia-, dia, N, O
19, ”, ”, N, O

1, ‘, ‘, N, O
2, Fatura, faturo, n, O
3, de, de, prp, O
4, o, o, art, O
5, Ambiente, ambiente, prop, B-LOCAL
6, ’, ’, N, O
7, revela, revelar, v-fin, O
8, que, que, conj-s, O
9, potencial, potencial, adj, O
10, de, de, prp, O
11, aquecimento, aquecimento, n, O
12, global, global, adj, O
13, é, é, v-fin, O
14, maior, grande, adj, O
15, que, que, conj-s, O
16, a, o, art, O
17, atividade, atividade, n, O
18, económica, económico, adj, O

1, Ali, ali, adv, O
2, Daei, daei, N, O
3, sente, sentir, v-fin, O
4, que, que, conj-s, O
5, Ronaldo, ronaldo, nprop, B-PESSOA
6, a, a, prp, O
7, ele, ele, pron-pers, O
8, vai, ir, v-fin, O
9, ``, ``, N, O
10, tirar, tirar, v-inf, O
11, '', '', N, O
12, o, o, art, O
13, recorde, recorde, n, O
14, mundial, mundial, adj, O
15, de, de, prp, O
16, golos, golo, n, O

1, Modelo, modelo, n, O
2, computacional, computacional, adj, O
3, ajuda, ajuda, n, O
4, a, a, prp, O
5, prever, prever, v-inf, O
6, surtos, surto, n, O
7, de, de, prp, O
8, ébola, ébola, prop, O

1, Lutas, lutas, h:n:luta:f_p::np-idf:, O
2, climáticas, climático, adj, O
3, e, e, conj-c, O
4, associativismo, associativismo, n, O
5, “, “, N, O
6, pós-político, pós-político, adj, O
7, ”, ”, N, O

1, Lenine, lenine, prop, B-PESSOA
2, Cunha, cunhar, v-fin, I-PESSOA
3, e, e, conj-c, O
4, Ana, ana, nprop, O
5, Filipe, filipe, n, O
6, conquistam, conquistar, v-fin, O
7, duas, dois, num, O
8, medalhas, medalha, n, O
9, em, em, prp, O
10, os, o, art, O
11, INAS, ino, N, B-ABSTRACCAO
12, Global, global, adj, I-ABSTRACCAO
13, Games, game, n, I-ABSTRACCAO

1, FIFA, fifa, N, O
2, ameaça, ameaça, n, O
3, alargar, alargar, v-inf, O
4, a, a, prp, O
5, nível, nível, n, O
6, global, global, adj, O
7, eventuais, eventual, adj, O
8, sanções, sançõe, n, O
9, de, de, prp, O
10, a, o, art, O
11, UEFA, uefa, N, B-ORGANIZACAO
12, à, à, ADP, O
13, Bulgária, bulgária, prop, B-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, fecha, fecha, mv:v-fin:fechar:pr_3s_ind::fs-rel:, O
3, INAS, ino, N, B-ORGANIZACAO
4, Global, global, adj, O
5, Games, game, n, O
6, com, com, prp, O
7, mais, mais, pron-det, O
8, um, um, num, O
9, ouro, ouro, n, O
10, e, e, conj-c, O
11, três, três, num, O
12, pratas, prata, n, O

1, Nokia, nokia, prop, O
2, 7.2, 7.2, N, O
3, chega, chegar, v-fin, O
4, a, a, prp, O
5, Portugal, portugal, prop, B-LOCAL
6, com, com, prp, O
7, Snapdragon, snapdragon, nprop, B-ORGANIZACAO
8, 660, 660, N, I-ORGANIZACAO
9, de, de, prp, O
10, a, o, art, O
11, Qualcomm, qualcomm, N, O
12, e, e, conj-c, O
13, câmara, câmaro, n, O
14, tripla, tripla, n, O
15, de, de, prp, O
16, 48, 48, num, O
17, MP, mp, prop, O

1, Relatório, relatório, n, O
2, de, de, prp, O
3, o, o, art, O
4, G7, g7, prop, B-COISA
5, levanta, levantar, v-fin, O
6, preocupações, preocupaçõe, n, O
7, com, com, prp, O
8, a, o, art, O
9, Libra, libra, prop, B-LOCAL
10, ,, ,, punc, O
11, criptomoeda, criptomoeda, n, O
12, de, de, prp, O
13, o, o, art, O
14, Facebook, facebook, prop, O

1, Xiaomi, xiaomi, N, O
2, lança, lança, v-fin, O
3, JoyUI, joyui, N, O
4, 11, 11, num, B-VALOR
5, baseada, basear, v-pcp, O
6, em, em, prp, O
7, a, o, art, O
8, MIUI, miui, N, O
9, 11, 11, num, B-VALOR
10, para, para, prp, O
11, smartphones, smartphones, prop, O
12, Black, black, prop, O
13, Shark, shark, prop, O

1, Cuidado, cuidado, n, O
2, com, com, prp, O
3, a, o, art, O
4, máquina, máquino, n, O
5, multiplicadora, multiplicadora, adv, O
6, de, de, prp, O
7, países, país, n, O

1, Portugal, portugal, prop, B-LOCAL
2, tem, ter, v-fin, O
3, 117, 117, N, B-VALOR
4, mil, mil, num, I-VALOR
5, milionários, milionário, n, O

1, Indústria, indústria, n, O
2, automóvel, automóvel, n, O
3, ., ., punc, O
4, FMI, fmi, h:prop:fmi:m_s:::, O
5, deixa, deixar, v-fin, O
6, avisos, aviso, n, O
7, sobre, sobre, prp, O
8, sector, sector, n, O
9, que, que, pron-indp, O
10, vale, valer, v-fin, O
11, 15, 15, num, B-VALOR
12, %, %, n, I-VALOR
13, de, de, prp, O
14, as, o, art, O
15, exportações, exportaçõe, n, O
16, portuguesas, portuguÃªs, adj, O

1, Marcas, marca, n, O
2, de, de, prp, O
3, o, o, art, O
4, voto, voto, n, O
5, emigrante, emigrante, adv, O
6, :, :, punc, O
7, PAN, pan, N, O
8, foi, ser, v-fin, O
9, a, a, prp, O
10, 3.ª, 3.ª, N, O
11, força, força, n, O
12, ,, ,, punc, O
13, nulos, nulo, adj, O
14, e, e, conj-c, O
15, brancos, branco, adj, O
16, dispararam, disparar, v-fin, O

1, Como, como, ks, O
2, a, o, art, O
3, Huawei, huawei, N, B-ORGANIZACAO
4, está, está, v-fin, O
5, a, a, prp, O
6, conseguir, conseguir, v-inf, O
7, sacudir, sacudir, v-inf, O
8, pressão, pressão, n, O

1, Partidos, partidos, h:n:partido:m_p::np-idf:, O
2, ecologistas, ecologista, n, O
3, se, se, pron-pers, O
4, tornam-, tornar, v-fin, O
5, a, o, art, O
6, segunda, segunda, n, O
7, maior, grande, adj, O
8, força, força, n, O
9, em, em, prp, O
10, a, o, art, O
11, Suíça, suíça, prop, B-LOCAL

1, Um, um, prp, O
2, a, a, prp, O
3, um, um, art, O
4, ., ., punc, O
5, Os, o, art, O
6, perfis, perfil, N, O
7, de, de, prp, O
8, todos, todo, pron-det, O
9, os, o, art, O
10, ministros, ministro, n, O
11, de, de, prp, O
12, o, o, art, O
13, novo, novo, adj, O
14, Governo, governo, prop, B-ORGANIZACAO

1, Conectividade, conectividade, n, O
2, privada, privado, adj, O
3, em, em, prp, O
4, o, o, art, O
5, digital, digital, adj, O
6, edge, edge, N, O
7, deve, dever, v-fin, O
8, aumentar, aumentar, v-inf, O
9, mais, mais, adv, O
10, de, de, prp, O
11, 50, 50, num, B-VALOR
12, %, %, n, I-VALOR
13, a, a, prp, B-TEMPO
14, o, o, art, I-TEMPO
15, ano, ano, n, I-TEMPO

1, Costa, costa, nprop, O
2, :, :, punc, O
3, Não, não, adv, O
4, há, há, v-fin, O
5, condições, condiçõe, n, O
6, para, para, prp, O
7, acordo, acordo, n, O
8, em, em, prp, O
9, breve, breve, n, O
10, sobre, sobre, prp, O
11, orçamento, orçamento, n, O
12, de, de, prp, O
13, a, o, art, O
14, UE, ue, prop, B-ORGANIZACAO

1, FMI, fmi, prop, O
2, diz, dizer, v-fin, O
3, que, que, conj-s, O
4, “, “, N, O
5, ainda, ainda, adv, O
6, é, é, v-fin, O
7, possível, possível, adj, O
8, um, um, art, O
9, amplo, amplo, adj, O
10, crescimento, crescimento, n, O
11, ”, ”, N, O
12, ,, ,, punc, O
13, apesar, apesar, adv, O
14, de, de, prp, O
15, as, o, art, O
16, guerras, guerra, n, O
17, comerciais, comercial, adj, O
18, e, e, conj-c, O
19, de, de, prp, O
20, o, o, art, O
21, “, “, N, O
22, Brexit, brexit, N, O
23, ”, ”, N, O

1, António, antónio, h:prop:antónio:m_s:::, B-PESSOA
2, Costa, costa, nprop, O
3, :, :, punc, O
4, Não, não, adv, O
5, há, há, v-fin, O
6, manifestamente, manifestamente, adv, O
7, condições, condiçõe, n, O
8, para, para, prp, O
9, acordo, acordo, n, O
10, em, em, prp, O
11, breve, breve, n, O
12, sobre, sobre, prp, O
13, orçamento, orçamento, n, O
14, de, de, prp, O
15, a, o, art, O
16, União, união, n, B-ORGANIZACAO
17, Europeia, europeu, n, I-ORGANIZACAO

1, O, o, art, O
2, Governo, governo, prop, B-ORGANIZACAO
3, está, está, v-fin, O
4, formado, formar, v-pcp, O
5, ., ., punc, O
6, Então, então, adv, O
7, para, para, prp, O
8, que, que, conj-s, O
9, serve, servir, v-fin, O
10, o, o, art, O
11, meu, meu, pron-det, O
12, voto, voto, n, O
13, ?, ?, punc, O

1, Como, como, ks, O
2, substituir, substituir, v-inf, O
3, o, o, art, O
4, plástico, plástico, h:n:plástico:m_s::np-idf:, O
5, descartável, descartável, adj, O
6, ?, ?, punc, O
7, Solução, solução, n, O
8, é, é, v-fin, O
9, reutilizar, reutilizar, v-inf, O
10, ,, ,, punc, O
11, diz, dizer, v-fin, O
12, Zero, zero, nprop, O

1, Huawei, huawei, N, O
2, aumenta, aumentar, v-fin, O
3, receitas, receita, n, O
4, de, de, prp, O
5, 24,4, 24,4, N, O
6, %, %, n, B-VALOR
7, em, em, prp, O
8, o, o, art, O
9, terceiro, terceiro, adj, O
10, quarto, quarto, adj, O
11, de, de, prp, O
12, 2019, 2019, N, O

1, O, o, art, O
2, desafio, desafio, n, O
3, de, de, prp, O
4, IA, ia, N, O
5, Devogame, devogame, n, O
6, abre, abrir, v-fin, O
7, por, por, prp, O
8, a, o, art, O
9, primeira, primeiro, adj, O
10, vez, vez, n, O
11, a, a, prp, O
12, porta, porta, n, O
13, a, a, prp, O
14, estudantes, estudante, n, O
15, portugueses, portuguÃªs, adj, O

1, Portugal, portugal, prop, B-LOCAL
2, Digital, digital, prop, I-LOCAL
3, Summit, summit, N, I-LOCAL
4, :, :, punc, O
5, 2ª, 2ª, n, O
6, edição, edição, n, O
7, de, de, prp, O
8, o, o, art, O
9, App, app, N, B-OBRA
10, Start, start, prop, I-OBRA
11, Up, up, N, I-OBRA
12, arranca, arranca, mv:v-fin:arrancar:pr_3s_ind:::, O
13, esta, este, pron-det, O
14, quarta-feira, quarta-feira, n, O

1, E, e, kc, O
2, os, o, art, O
3, destaques, destaque, n, O
4, tecnológicos, tecnológico, n, O
5, de, de, prp, O
6, a, o, art, O
7, semana, semana, n, O
8, que, que, pron-indp, O
9, passou, passar, v-fin, O
10, foram…, foram…, N, O

1, Ford, ford, prop, O
2, anuncia, anunciar, v-fin, O
3, rede, rede, n, O
4, de, de, prp, O
5, carregamento, carregamento, n, O
6, para, para, prp, O
7, carros, carro, n, O
8, elétricos, elétrico, adj, O
9, com, com, prp, O
10, a, o, art, O
11, Amazon, amazon, nprop, B-ORGANIZACAO
12, e, e, conj-c, O
13, Greenlots, greenlot, N, B-PESSOA

1, Alemanha, alemanha, prop, B-LOCAL
2, promete, prometer, v-fin, O
3, maior, grande, adj, O
4, impulso, impulso, n, O
5, orçamental, orçamental, adj, O
6, de, de, prp, B-TEMPO
7, a, o, art, I-TEMPO
8, década, décado, n, I-TEMPO

1, Marcelo, marcelo, nprop, I-TEMPO
2, dá, dá, v-fin, O
3, posse, posse, n, O
4, a, a, prp, O
5, o, o, art, O
6, Governo, governo, prop, B-ORGANIZACAO
7, em, em, prp, O
8, a, o, art, O
9, próxima, próximo, adj, O
10, quarta-feira, quarta-feira, n, O

1, A, o, art, O
2, maioria, maioria, n, O
3, de, de, prp, O
4, os, o, art, O
5, seniores, sÃ©nior, n, O
6, são, são, v-fin, O
7, freelancers, freelancers, prop, O

1, O, o, art, O
2, mundo, mundo, n, O
3, a, a, prp, O
4, seus, seu, pron-det, O
5, pés, pé, n, O
6, #, #, N, O
7, 3, 3, num, O
8, :, :, punc, O
9, Os, o, art, O
10, adiamentos, adiamento, n, O
11, de, de, prp, O
12, o, o, art, O
13, Brexit, brexit, N, B-PESSOA
14, abrem, abrir, v-fin, O
15, uma, um, art, O
16, crise, crise, n, O
17, democrática, democrático, adj, O
18, ?, ?, punc, O

1, Moçambique/Eleições, moçambique/eleições, n, O
2, :, :, punc, O
3, Ambiente, ambiente, prop, O
4, de, de, prp, O
5, votação, votação, n, O
6, “, “, N, O
7, calmo, calmo, h:adj:calmo:m_s:::, O
8, ”, ”, N, O
9, ,, ,, punc, O
10, apesar, apesar, adv, O
11, de, de, prp, O
12, alguns, algum, pron-det, O
13, casos, caso, n, O
14, –, –, N, O
15, Observadores, observador, n, O

1, Portugal, portugal, prop, B-LOCAL
2, se, se, pron-pers, O
3, prepara-, preparar, v-fin, O
4, para, para, prp, O
5, bater, bater, v-inf, O
6, um, um, art, O
7, recorde, recorde, n, O
8, em, em, prp, O
9, o, o, art, O
10, sector, sector, n, O
11, automóvel, automóvel, n, O

1, Vendas, venda, n, O
2, de, de, prp, O
3, a, o, art, O
4, Huawei, huawei, N, O
5, crescem, crescer, v-fin, O
6, 24,4, 24,4, N, O
7, %, %, n, B-VALOR
8, em, em, prp, B-TEMPO
9, os, o, art, I-TEMPO
10, primeiros, primeiro, adj, I-TEMPO
11, nove, nove, num, I-TEMPO
12, meses, mÃªs, n, I-TEMPO
13, de, de, prp, I-TEMPO
14, o, o, art, I-TEMPO
15, ano, ano, n, I-TEMPO

1, Está, está, v, O
2, a, a, prp, O
3, nascer, nascer, v-inf, O
4, uma, um, art, O
5, nova, novo, adj, O
6, ‘, ‘, N, O
7, Quinta, quinta, n, O
8, de, de, prp, O
9, o, o, art, O
10, Lago, lago, N, B-LOCAL
11, ’, ’, N, O
12, em, em, prp, O
13, o, o, art, O
14, Algarve, algarve, prop, O

1, FMI, fmi, prop, O
2, ., ., punc, O
3, Portugal, portugal, prop, B-LOCAL
4, perde, perder, v-fin, O
5, gás, gá, n, O
6, ,, ,, punc, O
7, mas, mas, conj-c, O
8, ainda, ainda, adv, O
9, cresce, crescer, v-fin, O
10, mais, mais, adv, O
11, de, de, prp, O
12, o, o, pron-det, O
13, que, que, pron-indp, O
14, a, o, art, O
15, Europa, europa, prop, B-LOCAL

1, A, o, art, O
2, direita, direita, n, O
3, e, e, conj-c, O
4, o, o, art, O
5, futuro, futuro, n, O

1, Alterações, alterações, h:n:alteração:f_p::np-idf:, O
2, climáticas, climático, adj, O
3, ,, ,, punc, O
4, modo, modo, n, O
5, de, de, prp, O
6, usar, usar, v-inf, O

1, Douro, douro, h:prop:douro:m_s:::, O
2, ,, ,, punc, O
3, uma, um, art, O
4, região, região, n, O
5, demarcada, demarcar, v-pcp, O
6, com, com, prp, O
7, grande, grande, adj, O
8, legado, legado, n, O
9, histórico, histórico, adj, B-TEMPO
10, ., ., punc, O

1, Ana, ana, nprop, B-PESSOA
2, Paula, paula, nprop, I-PESSOA
3, Vitorino, vitorino, n, I-PESSOA
4, :, :, punc, O
5, “, “, N, O
6, O, o, art, O
7, peso, peso, n, O
8, de, de, prp, O
9, a, o, art, O
10, economia, economia, n, O
11, de, de, prp, O
12, o, o, art, O
13, mar, mar, n, O
14, duplicou, duplicar, v-fin, O
15, em, em, prp, O
16, esta, este, pron-det, O
17, legislatura, legislatura, h:n:legislatura:f_s::np-def:, O
18, ”, ”, N, O

1, Ritz, ritz, N, O
2, de, de, prp, O
3, Lisboa, lisboa, prop, B-LOCAL
4, tem, ter, v-fin, O
5, um, um, num, O
6, de, de, prp, O
7, os, o, art, O
8, 44, 44, num, O
9, melhores, bom, adj, O
10, bares, bar, n, O
11, de, de, prp, O
12, hotel, hotel, n, O
13, de, de, prp, O
14, o, o, art, O
15, mundo, mundo, n, O
16, ,, ,, punc, O
17, garante, garantir, v-fin, O
18, a, o, art, O
19, Forbes, forbe, n, O

1, Maria, maria, nprop, O
2, de, de, prp, O
3, o, o, art, O
4, Céu, céu, n, B-PESSOA
5, Albuquerque, albuquerque, conj-s, I-PESSOA
6, :, :, punc, O
7, uma, um, art, O
8, outsider, outsider, v-inf, O
9, em, em, prp, O
10, a, o, art, O
11, Agricultura, agricultura, prop, O

1, Abrir, abrir, v, O
2, as, o, art, O
3, portas, porta, n, O
4, a, a, prp, O
5, o, o, art, O
6, futuro, futuro, n, O

1, FIFA, fifa, N, O
2, 20, 20, num, B-VALOR
3, :, :, punc, O
4, Dez, dez, num, O
5, milhões, milhõe, n, O
6, de, de, prp, O
7, razões, razõe, n, O
8, para, para, prp, O
9, estar, estar, v-inf, O
10, de, de, prp, O
11, parabéns, parabém, n, O

1, O, o, art, O
2, futuro, futuro, n, O
3, de, de, prp, O
4, as, o, art, O
5, empresas, empresa, n, O
6, mais, mais, adv, O
7, rápidas, rápido, adj, O

1, Tem, ter, v, O
2, a, o, art, O
3, palavra, palavra, n, O
4, o, o, art, O
5, novo, novo, adj, O
6, vereador, vereador, n, O
7, de, de, prp, O
8, o, o, art, O
9, Urbanismo, urbanismo, n, O
10, de, de, prp, O
11, a, o, art, O
12, CML, cml, prop, B-ORGANIZACAO

1, “, “, N, O
2, Interesse, interessar, v-fin, O
3, de, de, prp, O
4, a, o, art, O
5, França, frança, prop, B-LOCAL
6, em, em, prp, O
7, Portugal, portugal, prop, B-LOCAL
8, está, está, v-fin, O
9, em, em, prp, O
10, um, um, art, O
11, claro, claro, adj, O
12, crescimento, crescimento, n, O
13, ”, ”, N, O

1, Administração, administração, n, O
2, de, de, prp, O
3, a, o, art, O
4, Media, media, n, B-ORGANIZACAO
5, Capital, capital, n, I-ORGANIZACAO
6, aprova, aprovar, v-fin, O
7, OPA, opa, N, O
8, de, de, prp, O
9, a, o, art, O
10, Cofina, cofino, n, B-ORGANIZACAO

1, Presidente, presidente, n, B-PESSOA
2, de, de, prp, O
3, a, o, art, O
4, Abreu, abreu, nprop, B-ORGANIZACAO
5, vai, ir, v-fin, O
6, representar, representar, v-inf, O
7, advogados, advogado, n, O
8, de, de, prp, O
9, mais, mais, pron-det, B-VALOR
10, de, de, prp, I-VALOR
11, 100, 100, num, I-VALOR
12, países, país, n, O

1, Mais, mais, adv, O
2, de, de, prp, O
3, um, um, art, O
4, milhão, milhão, n, O
5, de, de, prp, O
6, euros, euro, n, B-VALOR
7, para, para, prp, O
8, 24, 24, num, B-TEMPO
9, municípios, município, n, O
10, afetados, afetar, v-pcp, O
11, por, por, prp, O
12, a, o, art, O
13, Leslie, leslie, nprop, O

1, A, o, art, O
2, Libra, libra, prop, B-LOCAL
3, e, e, conj-c, O
4, a, o, art, O
5, maré, maré, n, O
6, de, de, prp, O
7, Zuckerberg, zuckerberg, prop, O

1, Concessões, concessõe, n, O
2, ., ., punc, O
3, Como, como, ks, O
4, o, o, art, O
5, Algarve, algarve, prop, B-PESSOA
6, Litoral, litoral, adj, I-PESSOA
7, se, se, pron-pers, O
8, tornou, tornar, v-fin, O
9, uma, um, art, O
10, grande, grande, adj, O
11, dor, dor, n, O
12, de, de, prp, O
13, cabeça, cabeça, n, O
14, para, para, prp, O
15, Pedro, pedro, nprop, B-PESSOA
16, Nuno, nuno, nprop, I-PESSOA
17, Santos, santos, nprop, I-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, se, se, pron-pers, O
3, financia-, financiar, v-fin, O
4, em, em, prp, O
5, 1,25, 1,25, num, B-VALOR
6, mil, mil, num, I-VALOR
7, milhões, milhõe, n, I-VALOR
8, de, de, prp, O
9, euros, euro, n, B-VALOR
10, a, a, prp, O
11, juros, juro, n, O
12, menos, menos, adv, O
13, negativos, negativos, h:adj:negativo:m_p:::, O

1, Só, só, pden, O
2, cinco, cinco, num, O
3, hospitais, hospital, n, O
4, públicos, público, adj, O
5, têm, têm, v-fin, O
6, resultados, resultado, n, O
7, positivos, positivo, adj, O

1, Trump, trump, N, O
2, leva, levar, v-fin, O
3, a, o, art, O
4, próxima, próximo, adj, O
5, cimeira, cimeira, h:n:cimeira:f_s::np-def:, O
6, de, de, prp, O
7, o, o, art, O
8, G7, g7, h:prop:g7:m_s:::, O
9, para, para, prp, O
10, um, um, art, O
11, clube, clube, n, O
12, de, de, prp, O
13, golfe, golfe, n, O
14, seu, seu, pron-det, O
15, em, em, prp, O
16, a, o, art, O
17, Florida, florida, prop, O

1, Teimosia, teimosia, prop, O
2, de, de, prp, O
3, Macron, macron, nprop, B-PESSOA
4, contra, contra, prp, O
5, o, o, art, O
6, alargamento, alargamento, n, O
7, é, é, v-fin, O
8, “, “, N, O
9, um, um, art, O
10, grave, grave, adj, O
11, erro, erro, n, O
12, histórico, histórico, adj, O
13, ”, ”, N, O
14, ,, ,, punc, O
15, acusa, acusar, v-fin, O
16, Juncker, juncker, prop, B-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, caminha, caminhar, v-fin, O
3, para, para, prp, O
4, a, o, art, O
5, igualdade, igualdade, n, O
6, de, de, prp, O
7, género, género, n, O
8, a, a, prp, O
9, ritmo, ritmo, n, O
10, mais, mais, adv, O
11, acelerado, acelerar, v-pcp, O
12, de, de, prp, O
13, o, o, pron-det, O
14, que, que, pron-indp, O
15, a, o, art, O
16, média, média, n, O
17, europeia, europeu, adj, O

1, Sebastião, sebastião, nprop, B-PESSOA
2, Salgado, salgar, v-pcp, I-PESSOA
3, dedica, dedicar, v-fin, O
4, prémio, prémio, n, O
5, de, de, prp, O
6, carreira, carreira, n, O
7, às, à, N, O
8, vítimas, vítimo, n, O
9, que, que, pron-indp, O
10, fotografou, fotografar, v-fin, O

1, Sentença, sentença, n, O
2, em, em, prp, O
3, a, o, art, O
4, Catalunha, catalunha, prop, O
5, :, :, punc, O
6, Europa, europa, prop, B-LOCAL
7, ,, ,, punc, O
8, agora, agora, adv, O
9, é, é, v-fin, O
10, com, com, prp, O
11, vÃ³s, vã³, N, O

1, Utentes, utente, n, O
2, de, de, prp, O
3, o, o, art, O
4, Lar, lar, N, O
5, Militar, militar, v-inf, O
6, temem, temer, v-fin, O
7, que, que, conj-s, O
8, polo, polo, N, O
9, de, de, prp, O
10, Alcoitão, alÃ§ar, v-fin, O
11, os, o, art, O
12, ``, ``, N, O
13, empurre, empurrar, v-fin, O
14, para, para, prp, O
15, um, um, art, O
16, canto, canto, n, O
17, '', '', N, O

1, Artista, artista, n, O
2, espanhol, espanhol, adj, O
3, contra, contra, prp, O
4, EMEL, emel, N, O
5, deixa, deixar, v-fin, O
6, 124, 124, num, O
7, pessoas, pessoa, n, O
8, à, à, ADP, O
9, espera, esperar, v-fin, O
10, de, de, prp, O
11, lugar, lugar, n, O

1, Bicampeão, bicampeão, n, O
2, mundial, mundial, adj, O
3, Gabriel, gabriel, nprop, O
4, Medina, medino, n, O
5, pede, pedir, v-fin, O
6, reavaliação, reavaliação, n, O
7, de, de, prp, O
8, bateria, bateria, n, O
9, em, em, prp, O
10, Peniche, peniche, prop, B-LOCAL

1, Huawei, huawei, N, O
2, nega, negar, v-fin, O
3, ter, ter, v-inf, O
4, ``, ``, N, O
